Iteration,Fitness,Time,State
16,8,0.12403202056884766,"{0: [4, 1, 7, 2, 5, 6, 3], 1: [5, 3, 7, 4, 0, 2, 6], 2: [7, 3, 6, 0, 4, 1, 5], 3: [1, 6, 4, 5, 0, 2, 7], 4: [1, 7, 5, 3, 2, 0, 6], 5: [7, 4, 3, 6, 1, 2, 0], 6: [7, 5, 4, 2, 3, 1, 0], 7: [2, 1, 3, 6, 0, 5, 4]}"
17,8,0.13182592391967773,"{0: [4, 1, 7, 2, 5, 6, 3], 1: [5, 3, 7, 4, 0, 2, 6], 2: [7, 3, 6, 0, 4, 1, 5], 3: [1, 6, 4, 5, 0, 2, 7], 4: [1, 7, 5, 3, 2, 0, 6], 5: [7, 4, 3, 6, 1, 2, 0], 6: [7, 5, 4, 2, 3, 1, 0], 7: [2, 1, 3, 6, 0, 5, 4]}"
18,8,0.1394639015197754,"{0: [4, 1, 7, 2, 5, 6, 3], 1: [5, 3, 7, 4, 0, 2, 6], 2: [7, 3, 6, 0, 4, 1, 5], 3: [1, 6, 4, 5, 0, 2, 7], 4: [1, 7, 5, 3, 2, 0, 6], 5: [7, 4, 3, 6, 1, 2, 0], 6: [7, 5, 4, 2, 3, 1, 0], 7: [2, 1, 3, 6, 0, 5, 4]}"
19,8,0.1474170684814453,"{0: [4, 1, 7, 2, 5, 6, 3], 1: [5, 3, 7, 4, 0, 2, 6], 2: [7, 3, 6, 0, 4, 1, 5], 3: [1, 6, 4, 5, 0, 2, 7], 4: [1, 7, 5, 3, 2, 0, 6], 5: [7, 4, 3, 6, 1, 2, 0], 6: [7, 5, 4, 2, 3, 1, 0], 7: [2, 1, 3, 6, 0, 5, 4]}"
20,8,0.15521788597106934,"{0: [4, 1, 7, 2, 5, 6, 3], 1: [5, 3, 7, 4, 0, 2, 6], 2: [7, 3, 6, 0, 4, 1, 5], 3: [1, 6, 4, 5, 0, 2, 7], 4: [1, 7, 5, 3, 2, 0, 6], 5: [7, 4, 3, 6, 1, 2, 0], 6: [7, 5, 4, 2, 3, 1, 0], 7: [2, 1, 3, 6, 0, 5, 4]}"
21,8,0.16286420822143555,"{0: [4, 1, 7, 2, 5, 6, 3], 1: [5, 3, 7, 4, 0, 2, 6], 2: [7, 3, 6, 0, 4, 1, 5], 3: [1, 6, 4, 5, 0, 2, 7], 4: [1, 7, 5, 3, 2, 0, 6], 5: [7, 4, 3, 6, 1, 2, 0], 6: [7, 5, 4, 2, 3, 1, 0], 7: [2, 1, 3, 6, 0, 5, 4]}"
22,8,0.17072010040283203,"{0: [4, 1, 7, 2, 5, 6, 3], 1: [5, 3, 7, 4, 0, 2, 6], 2: [7, 3, 6, 0, 4, 1, 5], 3: [1, 6, 4, 5, 0, 2, 7], 4: [1, 7, 5, 3, 2, 0, 6], 5: [7, 4, 3, 6, 1, 2, 0], 6: [7, 5, 4, 2, 3, 1, 0], 7: [2, 1, 3, 6, 0, 5, 4]}"
23,8,0.1786670684814453,"{0: [4, 1, 7, 2, 5, 6, 3], 1: [5, 3, 7, 4, 0, 2, 6], 2: [7, 3, 6, 0, 4, 1, 5], 3: [1, 6, 4, 5, 0, 2, 7], 4: [1, 7, 5, 3, 2, 0, 6], 5: [7, 4, 3, 6, 1, 2, 0], 6: [7, 5, 4, 2, 3, 1, 0], 7: [2, 1, 3, 6, 0, 5, 4]}"
24,8,0.18677926063537598,"{0: [4, 1, 7, 2, 5, 6, 3], 1: [5, 3, 7, 4, 0, 2, 6], 2: [7, 3, 6, 0, 4, 1, 5], 3: [1, 6, 4, 5, 0, 2, 7], 4: [1, 7, 5, 3, 2, 0, 6], 5: [7, 4, 3, 6, 1, 2, 0], 6: [7, 5, 4, 2, 3, 1, 0], 7: [2, 1, 3, 6, 0, 5, 4]}"
25,8,0.19442415237426758,"{0: [4, 1, 7, 2, 5, 6, 3], 1: [5, 3, 7, 4, 0, 2, 6], 2: [7, 3, 6, 0, 4, 1, 5], 3: [1, 6, 4, 5, 0, 2, 7], 4: [1, 7, 5, 3, 2, 0, 6], 5: [7, 4, 3, 6, 1, 2, 0], 6: [7, 5, 4, 2, 3, 1, 0], 7: [2, 1, 3, 6, 0, 5, 4]}"
26,8,0.2021172046661377,"{0: [4, 1, 7, 2, 5, 6, 3], 1: [5, 3, 7, 4, 0, 2, 6], 2: [7, 3, 6, 0, 4, 1, 5], 3: [1, 6, 4, 5, 0, 2, 7], 4: [1, 7, 5, 3, 2, 0, 6], 5: [7, 4, 3, 6, 1, 2, 0], 6: [7, 5, 4, 2, 3, 1, 0], 7: [2, 1, 3, 6, 0, 5, 4]}"
1,8,0.007619142532348633,"{0: [4, 6, 2, 7, 1, 5, 3], 1: [4, 5, 3, 2, 0, 6, 7], 2: [5, 3, 4, 7, 1, 0, 6], 3: [5, 7, 6, 4, 0, 2, 1], 4: [0, 5, 6, 2, 1, 7, 3], 5: [7, 6, 1, 2, 3, 4, 0], 6: [5, 1, 7, 0, 3, 2, 4], 7: [3, 1, 0, 4, 2, 6, 5]}"
2,8,0.015359163284301758,"{0: [4, 6, 2, 7, 1, 5, 3], 1: [4, 5, 3, 2, 0, 6, 7], 2: [5, 3, 4, 7, 1, 0, 6], 3: [5, 7, 6, 4, 0, 2, 1], 4: [0, 5, 6, 2, 1, 7, 3], 5: [7, 6, 1, 2, 3, 4, 0], 6: [5, 1, 7, 0, 3, 2, 4], 7: [3, 1, 0, 4, 2, 6, 5]}"
3,8,0.023072004318237305,"{0: [4, 6, 2, 7, 1, 5, 3], 1: [4, 5, 3, 2, 0, 6, 7], 2: [5, 3, 4, 7, 1, 0, 6], 3: [5, 7, 6, 4, 0, 2, 1], 4: [0, 5, 6, 2, 1, 7, 3], 5: [7, 6, 1, 2, 3, 4, 0], 6: [5, 1, 7, 0, 3, 2, 4], 7: [3, 1, 0, 4, 2, 6, 5]}"
4,8,0.030755043029785156,"{0: [4, 6, 2, 7, 1, 5, 3], 1: [4, 5, 3, 2, 0, 6, 7], 2: [5, 3, 4, 7, 1, 0, 6], 3: [5, 7, 6, 4, 0, 2, 1], 4: [0, 5, 6, 2, 1, 7, 3], 5: [7, 6, 1, 2, 3, 4, 0], 6: [5, 1, 7, 0, 3, 2, 4], 7: [3, 1, 0, 4, 2, 6, 5]}"
5,8,0.038407087326049805,"{0: [4, 6, 2, 7, 1, 5, 3], 1: [4, 5, 3, 2, 0, 6, 7], 2: [5, 3, 4, 7, 1, 0, 6], 3: [5, 7, 6, 4, 0, 2, 1], 4: [0, 5, 6, 2, 1, 7, 3], 5: [7, 6, 1, 2, 3, 4, 0], 6: [5, 1, 7, 0, 3, 2, 4], 7: [3, 1, 0, 4, 2, 6, 5]}"
6,8,0.04595208168029785,"{0: [4, 6, 2, 7, 1, 5, 3], 1: [4, 5, 3, 2, 0, 6, 7], 2: [5, 3, 4, 7, 1, 0, 6], 3: [5, 7, 6, 4, 0, 2, 1], 4: [0, 5, 6, 2, 1, 7, 3], 5: [7, 6, 1, 2, 3, 4, 0], 6: [5, 1, 7, 0, 3, 2, 4], 7: [3, 1, 0, 4, 2, 6, 5]}"
7,8,0.053887128829956055,"{0: [4, 6, 2, 7, 1, 5, 3], 1: [4, 5, 3, 2, 0, 6, 7], 2: [5, 3, 4, 7, 1, 0, 6], 3: [5, 7, 6, 4, 0, 2, 1], 4: [0, 5, 6, 2, 1, 7, 3], 5: [7, 6, 1, 2, 3, 4, 0], 6: [5, 1, 7, 0, 3, 2, 4], 7: [3, 1, 0, 4, 2, 6, 5]}"
8,8,0.06163525581359863,"{0: [4, 6, 2, 7, 1, 5, 3], 1: [4, 5, 3, 2, 0, 6, 7], 2: [5, 3, 4, 7, 1, 0, 6], 3: [5, 7, 6, 4, 0, 2, 1], 4: [0, 5, 6, 2, 1, 7, 3], 5: [7, 6, 1, 2, 3, 4, 0], 6: [5, 1, 7, 0, 3, 2, 4], 7: [3, 1, 0, 4, 2, 6, 5]}"
9,8,0.06938719749450684,"{0: [4, 6, 2, 7, 1, 5, 3], 1: [4, 5, 3, 2, 0, 6, 7], 2: [5, 3, 4, 7, 1, 0, 6], 3: [5, 7, 6, 4, 0, 2, 1], 4: [0, 5, 6, 2, 1, 7, 3], 5: [7, 6, 1, 2, 3, 4, 0], 6: [5, 1, 7, 0, 3, 2, 4], 7: [3, 1, 0, 4, 2, 6, 5]}"
10,8,0.0772409439086914,"{0: [4, 6, 2, 7, 1, 5, 3], 1: [4, 5, 3, 2, 0, 6, 7], 2: [5, 3, 4, 7, 1, 0, 6], 3: [5, 7, 6, 4, 0, 2, 1], 4: [0, 5, 6, 2, 1, 7, 3], 5: [7, 6, 1, 2, 3, 4, 0], 6: [5, 1, 7, 0, 3, 2, 4], 7: [3, 1, 0, 4, 2, 6, 5]}"
11,8,0.08513808250427246,"{0: [4, 6, 2, 7, 1, 5, 3], 1: [4, 5, 3, 2, 0, 6, 7], 2: [5, 3, 4, 7, 1, 0, 6], 3: [5, 7, 6, 4, 0, 2, 1], 4: [0, 5, 6, 2, 1, 7, 3], 5: [7, 6, 1, 2, 3, 4, 0], 6: [5, 1, 7, 0, 3, 2, 4], 7: [3, 1, 0, 4, 2, 6, 5]}"
12,8,0.09314894676208496,"{0: [4, 6, 2, 7, 1, 5, 3], 1: [4, 5, 3, 2, 0, 6, 7], 2: [5, 3, 4, 7, 1, 0, 6], 3: [5, 7, 6, 4, 0, 2, 1], 4: [0, 5, 6, 2, 1, 7, 3], 5: [7, 6, 1, 2, 3, 4, 0], 6: [5, 1, 7, 0, 3, 2, 4], 7: [3, 1, 0, 4, 2, 6, 5]}"
13,8,0.1011509895324707,"{0: [4, 6, 2, 7, 1, 5, 3], 1: [4, 5, 3, 2, 0, 6, 7], 2: [5, 3, 4, 7, 1, 0, 6], 3: [5, 7, 6, 4, 0, 2, 1], 4: [0, 5, 6, 2, 1, 7, 3], 5: [7, 6, 1, 2, 3, 4, 0], 6: [5, 1, 7, 0, 3, 2, 4], 7: [3, 1, 0, 4, 2, 6, 5]}"
